,Ptms,Actg1,Col6a3,Lrig1,Celf2,Ddr2,Flna,Cald1,Cnn2,Emilin3,Tes,Rgmb,Cdo1,Nrp2,Acta2,Tpm2,Foxp2,Sparcl1,Actg2,Tagln,Crispld2,Psd,Tnc,Myh11,Gfra1,Mylk,Hhip,Ckb,Cnn1,Dmpk,Aldh1a1,Pde5a,Anxa6,Col1a1,Igfbp4,Kctd12,Mfap4,Dlk1,Tmtc2,Ptn,Basp1,Ptprs,Col3a1,Meis2,Auts2,Lrig3,Meis1,Hist1h2ap,Hist1h1b,Hist1h1a,Hist1h2ae,Sh3bgrl,H1fx,Lsp1,Pcdh18,Emilin1,Col1a2,Col6a2,Foxf1,Foxf2,Pgm5,Nkx6-1,Osr1,Gpc3,Gucy1a1,Zfp703,Ltbp4,Cacng7,Bnc2,Col6a1,Fbln1,Iqgap2,Itm2a,Ptk7,Islr,Cd63,Vcan,Robo1,Slitrk6,Col5a1,Dab2,Cdh11,Hic1,Lrp1,H2afy2,Efemp1,Sema3a,Arap1,Tcf21,Dcn,Igf1,Ptch1,Igfbp7,Col6a5,Thbs4,Lox,Pkdcc,Nr2f2,Penk,Snai2
Ptms,0.0,3934.7542,3878.4172,3983.14,4023.4019,3920.4683,3963.6726,3967.2773,3899.7788,3993.4934,3935.68,4040.6382,3940.0344,4001.9866,3943.6418,3940.1938,4027.2278,4051.4727,3991.384,3988.8853,3943.2842,4094.8738,3938.0002,3966.465,4047.378,3993.1626,4066.0098,4127.405,4011.5059,4031.1245,4182.8916,3933.971,3957.6917,3832.9846,3827.742,3941.4954,3849.7056,3810.7195,3982.816,3956.7507,4060.2358,3949.7703,3815.6296,3934.1396,3882.1638,3817.3008,3894.9792,3850.427,3877.8245,3800.731,3924.6978,3988.3252,4049.739,3949.9624,3912.0903,3894.1792,3848.786,3913.0422,3951.9648,4007.7908,3920.0527,3979.687,4020.6726,3876.9834,3853.4697,3888.0303,4051.02,3746.1406,3871.6821,3850.5334,3902.7964,3911.969,3863.802,3915.8303,3936.0034,3787.158,3920.7483,3872.8643,3862.4988,3943.8865,3893.8647,3858.47,3971.7114,3852.0867,3892.895,4016.2585,3914.7415,3893.968,3968.1145,3825.8333,3805.2083,3954.911,3779.2478,4046.1692,3773.4575,3757.7869,3900.6382,3694.1785,3715.8142,3877.098
Actg1,3934.7542,0.0,4008.9927,3950.71,4021.0833,4103.8306,3927.163,3931.977,3979.8347,3957.003,3946.7617,4087.3271,4011.859,4160.5376,3962.682,3950.515,3926.1042,3878.1353,3962.7642,3994.6995,3768.8247,3980.6707,4069.44,4001.9045,3991.8738,3968.63,4175.5273,4035.0122,4030.3384,4088.1558,4215.934,4029.7832,3923.2507,3826.5586,3968.67,3804.1235,3927.6294,3992.2588,4040.597,4076.7773,3818.3318,3972.8467,3826.5615,4007.7742,3932.1885,3816.3523,3967.4148,3949.9902,4060.2705,4031.164,4114.528,4067.407,3984.8904,3966.0083,3957.8652,3965.4004,3880.1714,3857.1572,3972.0288,3809.5247,3908.755,3941.7864,4059.132,3875.8296,3879.8716,4112.5137,3751.5964,4007.2107,4006.4556,3854.0554,3836.078,3931.254,3862.308,3994.615,3950.82,3921.7625,3803.159,3886.819,4056.8457,3916.2979,3710.7913,4005.832,3895.057,3846.041,3939.5393,3900.5361,3782.8357,3837.992,3812.469,3815.8582,3680.5972,3802.592,4070.3813,3959.3018,3683.9158,3806.9072,3925.9604,3809.4502,3761.8376,3910.4624
Col6a3,3878.4172,4008.9927,0.0,4008.154,4237.85,4205.015,4163.2803,4168.5176,4145.3667,4190.839,4262.4634,4271.549,4448.56,4562.5483,4234.503,4274.4395,4434.8413,4106.177,4332.7983,4430.8447,4508.622,4616.001,4759.243,4372.086,4631.7373,4337.716,4225.4043,4556.2783,4379.733,4636.0176,4354.5596,4083.326,4055.0557,3841.4043,3952.9932,4046.8855,3993.148,4070.7234,4217.4224,4142.4253,3943.94,3999.7446,3770.9045,3871.433,4018.4714,4022.1914,4052.9622,3732.8406,3726.6304,3744.9092,3758.772,3947.099,3821.5989,3914.5208,3950.3152,4024.5007,3796.5059,3988.4092,3830.7485,3988.831,3807.0247,4033.4048,4015.9429,3808.1665,3825.7166,3961.4111,3821.3442,3821.1245,3773.4548,3850.4363,3810.6719,4037.6587,3808.132,3731.7666,3836.9756,3603.9143,3772.5564,3647.9355,3482.135,3788.307,3652.6118,3701.4917,3793.5361,3720.107,3587.7085,3800.8164,3653.9092,3662.938,3558.1675,3472.9924,3559.589,3412.7478,3423.0183,3536.337,3541.9543,3466.3718,3535.8433,3437.9783,3016.2097,3184.6306
Lrig1,3983.14,3950.71,4008.154,0.0,4485.3877,3933.658,3951.6362,4133.6533,4073.7915,4274.114,4526.138,4288.4795,3784.571,4275.0757,4165.5903,4019.4658,4721.437,4260.8306,4102.3965,4110.273,4300.6694,4326.3115,4543.5034,4129.5645,5057.162,4188.0854,4543.743,4787.516,4377.714,4819.794,4904.889,3843.677,3972.3926,3798.821,3851.0676,3645.226,3764.6912,3621.1558,3812.993,3706.373,3836.3555,4148.6597,3703.8206,4068.7766,3742.6313,4222.4204,3941.246,4164.3555,4099.9575,4192.093,4023.6938,4006.4097,4043.1038,3821.734,3857.2222,3975.6824,3743.2925,3867.9673,4026.6858,4491.8496,3875.5508,3642.204,3493.5134,3916.1653,3768.1182,3570.2446,4132.5923,4217.1343,3205.5835,3730.501,3692.8315,3876.3728,3796.6667,3805.5115,3793.8647,3614.3386,3730.1653,3913.1301,4011.7932,3710.948,3454.9922,3722.0527,3870.9807,3515.6943,4137.7104,3621.1565,4145.674,3672.4587,3707.768,3691.4363,3214.453,4036.746,3658.8252,3805.0337,3781.4229,3456.8245,3636.025,3467.4668,3617.6174,3542.2908
Celf2,4023.4019,4021.0833,4237.85,4485.3877,0.0,4288.913,4138.2188,4137.1157,4232.8735,4223.1797,4642.965,4446.883,4370.7837,4554.16,4344.621,4282.986,4072.7595,4235.42,4453.6113,4536.03,4599.883,4786.813,4762.9673,4458.404,4516.8315,4374.975,4186.9233,4773.674,4445.096,5084.6084,4522.691,4279.076,3857.0486,3752.1216,3924.4526,4205.6597,4017.356,3966.944,3927.912,4223.3716,3917.7388,4023.8845,3694.28,3772.8855,4345.127,4013.7246,4315.8936,3927.809,3834.359,4091.2427,3803.5857,4025.2288,3683.9192,3854.7756,3984.4712,3798.8782,3706.7234,3890.8633,3964.985,4196.8374,4175.6216,3966.4946,3959.644,3867.4487,3931.7073,3950.645,3660.5159,3851.7275,3989.7249,3728.2415,3702.5027,4069.1428,3646.4312,3677.2397,3966.9648,3547.4795,3800.9429,3655.7368,4181.1704,3816.1938,3633.0247,3673.6055,3808.6765,3664.6384,3674.5051,3520.0347,3472.092,3167.376,3642.2656,3410.4817,3336.601,3430.2437,3707.3533,3740.078,3527.3706,3359.365,3476.9626,3441.2822,2737.4077,3150.3647
Ddr2,3920.4683,4103.8306,4205.015,3933.658,4288.913,0.0,4254.7144,4279.963,4346.6235,4236.3677,4430.8564,4314.2505,4363.833,4658.5195,4289.889,4215.004,4437.1553,4275.759,4304.8906,4512.01,4647.228,4881.4985,4625.5513,4404.498,4242.247,4249.226,4656.5444,4464.413,4607.2173,5034.488,4476.903,4097.751,3977.658,3857.0347,3863.2393,3915.6165,3889.1387,3748.7834,4201.734,4031.933,4063.4644,3927.7427,3798.852,4171.348,4013.8733,3984.7427,3989.6843,3804.8948,3752.272,3822.8923,3823.1099,3962.5625,3914.1692,4000.9146,4000.2466,4008.4395,3815.8025,3979.792,4073.1665,3995.0454,4029.4062,4008.3555,3976.154,3960.5786,3773.9277,3984.4873,3960.6702,3785.33,3885.5251,3848.9065,3697.4714,3936.2314,3808.1763,3736.124,3958.072,3843.469,3856.0571,3810.166,3563.4688,3871.5059,3773.004,3852.1543,3733.4922,3732.4585,3886.1348,3592.4592,3656.4617,3731.903,3639.0872,3509.2812,3642.3604,3720.4148,3542.2812,3587.503,3602.9224,3485.5708,3553.0493,3628.1597,3382.921,3609.1948
Flna,3963.6726,3927.163,4163.2803,3951.6362,4138.2188,4254.7144,0.0,4259.2896,4341.0386,4333.539,4311.144,4294.809,4155.0186,4518.799,4317.89,4360.264,4234.836,4438.068,4425.455,4480.3506,4433.072,4715.3965,4633.532,4485.529,4390.017,4486.878,4601.5376,4620.974,4621.567,4855.302,4828.5264,4011.9575,4010.1394,3812.9143,3780.0984,3790.5312,3761.568,3798.9387,4000.1685,3855.3071,3857.5625,3896.8716,3781.0142,4056.1392,3963.139,4087.0664,3904.9185,3789.972,3794.5854,3738.996,3689.9895,3830.1006,3710.5244,3938.6104,3787.8745,3976.547,3766.726,3870.5632,3983.3108,4086.7,3905.3098,3934.9001,3754.8513,3825.079,3750.275,3841.74,3963.4504,3623.3633,3862.9329,3795.291,3746.3982,3744.947,3666.8037,3657.0105,3883.1106,3699.0488,3650.6812,3758.846,3602.6301,3653.0566,3696.587,3765.967,3461.7493,3622.3862,3638.1025,3475.0354,3880.612,3636.5776,3573.3215,3420.5774,3430.6497,3618.2397,3386.9675,3516.174,3485.5747,3407.8015,3535.8428,3468.2258,3159.0972,3267.7046
Cald1,3967.2773,3931.977,4168.5176,4133.6533,4137.1157,4279.963,4259.2896,0.0,4362.7397,4311.927,4306.261,4290.368,4177.497,4486.906,4397.899,4436.322,4459.8306,4458.594,4537.66,4626.387,4607.5654,4702.507,4690.378,4588.055,4552.275,4584.222,4528.595,4801.825,4830.7627,4916.5767,4865.811,3967.105,4041.9626,3797.5972,3815.9565,3892.4885,3760.2808,3823.615,3958.5535,3935.2925,3846.7217,3880.9597,3732.9805,3987.2915,3850.3044,3821.489,4038.7825,3764.0247,3727.4731,3662.2305,3607.0657,3875.9958,3748.721,3971.1633,3857.719,4129.428,3715.3967,3856.2427,3983.6328,4147.164,3923.5134,3959.8486,3874.883,3728.6418,3745.2944,3784.6562,3772.6582,3562.4688,3882.1113,3859.7463,3639.3262,3826.1602,3672.779,3710.162,3898.0923,3688.2607,3662.5364,3780.1174,3453.0286,3665.5562,3779.0469,3738.2883,3576.6816,3588.772,3607.6797,3488.7134,3799.4797,3465.4978,3625.3284,3388.746,3416.2336,3547.0425,3500.3052,3320.9001,3449.385,3313.803,3409.631,3262.6514,2911.6675,3158.8972
Cnn2,3899.7788,3979.8347,4145.3667,4073.7915,4232.8735,4346.6235,4341.0386,4362.7397,0.0,4364.6855,4449.8555,4354.169,4539.8413,4462.3335,4405.892,4421.193,4528.779,4621.2534,4595.8213,4621.9478,4728.0815,5106.2573,4723.285,4685.933,4483.142,4652.6143,4409.1055,4889.598,4766.7974,5098.4883,5020.5664,4013.3271,4136.322,3789.7017,3729.9578,3753.6829,3783.1184,3875.2554,4096.733,3979.2878,3853.9485,3881.2693,3735.0508,4063.1265,3698.5474,4095.3477,4297.75,3748.0476,3847.0564,3613.9495,3581.4075,3830.9214,3810.2063,4100.9033,3868.8699,4127.1997,3722.3691,3965.597,4182.3604,3973.3528,4125.483,3884.2031,3667.3152,3846.6384,3726.8027,3848.0728,3765.7537,3826.8538,3754.933,3812.4724,3487.1934,3803.2559,3622.308,3797.426,4025.8486,3618.1282,3590.1274,3687.0122,3596.0461,3831.2524,3784.95,3682.962,3469.0435,3549.8142,3584.896,3529.2253,3661.2214,3381.291,3549.1697,3388.0972,3580.751,3577.964,3456.794,3309.29,3317.4932,3257.733,3304.2957,3467.2761,2926.243,3270.7937
Emilin3,3993.4934,3957.003,4190.839,4274.114,4223.1797,4236.3677,4333.539,4311.927,4364.6855,0.0,4300.5156,4509.9663,4185.542,4333.0786,4290.55,4347.934,4363.792,4818.746,4439.9907,4505.2065,4514.9136,4820.6055,4699.129,4557.2876,4508.7603,4667.629,5325.734,4769.7437,4894.669,5399.19,5367.1226,4176.143,4054.1848,3855.3704,3893.3037,3650.1697,3774.092,3794.0098,3816.8303,3838.3586,3642.3743,4131.325,3837.964,4236.6543,4070.1802,4475.2964,4278.7793,3816.5068,3627.673,4001.9797,3569.3677,3913.268,3832.6306,4110.05,4216.594,4020.9229,3851.4268,4082.9976,4163.194,4558.4346,4135.2993,3900.2952,3934.8228,4000.878,3902.6418,3935.1084,4229.235,3844.3071,4197.624,3882.2798,3803.222,3736.1357,3795.4666,3812.642,4039.4778,3883.6128,3962.482,4156.2627,3351.237,3859.4263,3968.3782,4030.7693,3611.9446,3966.4358,3769.4324,3689.025,4294.6245,3737.4573,3656.726,3678.5852,3380.7056,4111.9595,3621.3152,3656.361,3684.3743,3554.606,3873.2212,3721.594,3538.534,3576.8997
Tes,3935.68,3946.7617,4262.4634,4526.138,4642.965,4430.8564,4311.144,4306.261,4449.8555,4300.5156,0.0,4376.9414,4716.5103,4243.993,4620.3325,4542.0454,4871.8843,4182.6074,4696.9473,4823.197,5388.1846,5064.963,4725.5815,4798.071,4675.4336,4877.5083,4951.608,5174.6016,5100.721,4830.8735,4521.56,4003.1636,4045.502,3699.757,4037.5032,4224.7476,3787.6003,4210.5156,3899.091,4189.947,4125.0913,3871.4949,3618.4287,3705.333,3890.9436,3909.2573,4216.5845,3807.6907,3807.8325,3680.035,3784.5752,3931.3901,3702.3708,4040.3862,3685.5967,3632.3398,3597.4414,3657.1428,3829.5442,4035.6965,4128.9546,4157.362,4009.967,3567.9587,3813.9863,3828.8738,3501.3232,3493.8809,3452.8628,3560.025,3346.6597,3927.6284,3685.6208,3217.3894,3756.0227,3338.6846,3477.9495,3374.232,3366.04,3271.806,3385.085,3413.4932,3530.1567,3173.0754,3517.144,2872.1736,3195.25,3300.6912,3261.9639,2909.8774,2955.7878,3053.6226,2760.9507,2674.1787,2850.9263,2669.9326,3115.709,2889.662,2077.3542,2843.9744
Rgmb,4040.6382,4087.3271,4271.549,4288.4795,4446.883,4314.2505,4294.809,4290.368,4354.169,4509.9663,4376.9414,0.0,4631.754,4869.2163,4487.3247,4477.8066,4565.701,4600.5093,4696.353,4782.8384,4674.649,4531.9385,5086.1704,4674.7456,4843.062,4678.032,4726.2188,4951.936,5007.808,5419.243,5148.012,3996.0894,3972.6072,3772.8467,3717.828,3800.7092,3807.4673,3869.5784,4037.6663,4118.401,4041.4944,4067.528,3680.2283,4124.829,4124.159,4370.8057,4066.2515,3840.3875,4025.983,3897.005,3698.3066,3697.588,3844.4795,3846.0247,3843.4736,3943.3188,3650.8357,3725.6892,4076.999,3951.27,4025.482,3703.3994,3764.5764,3828.7861,3670.9385,3770.6658,4034.6692,3607.5623,4083.9216,3774.295,3755.9985,3653.4336,3587.225,3616.2588,4009.723,3671.5117,3489.221,3721.2754,3713.5735,3749.7598,3594.8074,3660.2944,3631.7122,3537.5256,3446.3203,3517.7656,3837.495,3592.873,3580.1135,3239.1033,3061.7307,3499.264,3285.9976,3210.1846,3098.8547,2934.245,3333.2092,3234.5305,2407.8796,3270.7434
